Price,Close,High,Low,Open,Volume
Ticker,C,C,C,C,C
Date,,,,,
2019-01-01,44.02267074584961,44.49764889697965,40.112005423518376,40.11992343727842,87668500
2019-01-08,46.6508903503418,46.943793447435176,43.34978218315701,44.35515553786941,112980100
2019-01-15,49.96782684326172,50.02324085925104,47.141699948456534,47.41085503462072,112999300
2019-01-22,50.54572677612305,51.02070500108428,48.40832174395959,49.61160031650643,84901400
2019-01-29,50.71195602416992,51.250266153528806,49.86491284454117,50.43488596633983,77351400
2019-02-05,49.11534118652344,51.50693381921063,48.63702083534562,51.172112310346726,75392500
2019-02-12,51.23588562011719,51.48302100494724,48.96387374109789,49.545830648702406,55822100
2019-02-19,51.443153381347656,52.160632343304336,50.637985249433704,50.80539599353456,59111800
2019-02-26,50.82133483886719,52.367899759069964,50.3111289835261,51.09237903858371,70780400
2019-03-05,49.67338180541992,50.749597311178135,48.43772313598303,50.749597311178135,75727000
2019-03-12,52.55923843383789,52.758537835440166,49.39436296325212,49.665410271073924,94188100
2019-03-19,48.094932556152344,53.27671694413278,47.87171516074421,52.98175164324837,97282600
2019-03-26,51.30763626098633,51.522876929456906,48.25436809810413,48.62108129272479,74323500
2019-04-02,52.67084503173828,52.94189537764067,50.956868980419486,51.211971968373796,54921100
2019-04-09,53.715179443359375,54.45657355602183,51.562748061893345,52.296168494467686,72605600
2019-04-16,55.07839584350586,56.401747177267424,53.72316194842625,53.81085419739295,65854100
2019-04-23,56.624942779541016,57.350395492221274,54.32901595309201,54.87907814399454,59002600
2019-04-30,56.13068389892578,56.86410420460387,54.815306690222485,56.61696882171848,60061100
2019-05-07,51.6539421081543,55.76186905360782,51.316965375787625,55.64151847168118,79951200
2019-05-14,52.11929702758789,53.26662787280665,51.36510572308061,51.84650807480835,63349800
2019-05-21,51.66197204589844,53.02592911455341,50.610922847361785,52.55255786739996,48374000
2019-05-28,50.233821868896484,52.35197005258567,49.69625981858493,51.42126542454522,81740300
2019-06-04,53.852325439453125,54.54232887883974,51.1564964112735,51.180568362848064,63817200
2019-06-11,53.3869743347168,54.58244287420226,53.27464876033747,54.221397259595115,46170600
2019-06-18,54.08500671386719,55.32861312642851,53.354884306197086,53.60360436445232,70817200
2019-06-25,56.756752014160156,57.47884934182825,53.33883486533868,54.12511386113377,73811100
2019-07-02,57.069664001464844,57.60722912541753,56.23524104206413,56.45187331681886,37207900
2019-07-09,57.53501892089844,57.888045683062096,56.22722469396026,56.58827033978383,71091800
2019-07-16,57.0536003112793,57.90406686337965,56.548135381097865,57.52697135555165,61317400
2019-07-23,57.57514190673828,58.634216147038295,56.90920723863298,57.23014012505722,59202600
2019-07-30,52.295814514160156,57.53502291153546,51.814418245910616,56.98943884184313,81312800
2019-08-06,51.92909622192383,53.99041873506815,51.44408097392031,53.35181296106384,71051800
2019-08-13,51.98567581176758,53.3194722302033,49.083663793854264,51.65425112431668,94531200
